"id","name","content","created_at","notion_page_id","priority"
34,"Network Segmentation","Network segmentation is the practice of dividing a computer network into smaller, manageable segments or subnets. This approach enhances security and performance by limiting broadcast traffic and containing potential breaches within isolated segments, preventing them from spreading across the entire network.","2026-04-01 18:28:54",3351fcb3-79f3-8142-9b6f-df38822a842f,Medium
35,Microsegmentation,"Microsegmentation is a security practice that divides a data center into distinct security segments, down to the individual workload level. This approach enhances security by applying granular firewall policies to specific applications or services, minimizing the attack surface and limiting lateral movement within the network. By isolating workloads, microsegmentation helps prevent unauthorized access and improves overall network security posture.","2026-04-01 18:28:56",3351fcb3-79f3-814f-8f3a-cf7931f577d2,Medium
36,"SSL Deep Packet Inspection","SSL Deep Packet Inspection (SSL DPI) is a network security technology that examines SSL-encrypted traffic for malicious content, threats, or policy violations. It intercepts and decrypts the data packets, enabling security devices to analyze the contents of encrypted traffic before it reaches its destination. This is essential for maintaining security in environments where encrypted traffic is prevalent, but it can raise privacy concerns if not managed properly.","2026-04-01 18:29:01",3351fcb3-79f3-81b5-b477-f1f8e41d7403,Medium
37,IoC,"Inversion of Control (IoC) is a design principle used in software development where the control of object creation and the management of their dependencies are inverted compared to traditional programming. Instead of the application controlling the flow of execution, an external entity manages it, typically through a framework or container, promoting loose coupling and enhancing testability.","2026-04-01 18:29:04",3351fcb3-79f3-810a-a58c-e39b4ed520ac,Medium
38,"Data Leakage Prevention","Data Leakage Prevention (DLP) refers to strategies and technologies that organizations use to prevent the unauthorized sharing or transmission of sensitive information outside of their controlled environments. DLP solutions monitor, detect, and respond to potential data breaches across endpoints, networks, and storage systems to protect confidential data such as intellectual property, personal information, and financial records.","2026-04-01 18:29:09",3351fcb3-79f3-81be-99ff-dcc878692481,Medium
39,"IOC (Indicator of Compromise)","An Indicator of Compromise (IOC) is a sign that a system may have been breached or compromised. IOCs can include specific file hashes, IP addresses, domain names, and other artifacts that indicate the presence of malicious activity or data breaches within a network or system.","2026-04-01 19:39:50",3351fcb3-79f3-81a8-8a06-ebf6813febc1,Medium
40,"F1 Score","The F1 Score is a metric used to evaluate the performance of a classification model. It is the harmonic mean of precision and recall, providing a balance between the two, especially in cases of imbalanced datasets. A higher F1 Score indicates a better balance between precision and recall, making it a useful measure when the cost of false positives and false negatives is significant.","2026-04-01 19:41:03",3351fcb3-79f3-812a-ae9c-e9446f36b862,Medium
41,AUC-ROC,"AUC-ROC stands for Area Under the Receiver Operating Characteristic Curve, which is a performance measurement for classification models at various threshold settings. The ROC curve plots the true positive rate against the false positive rate, and the AUC quantifies the overall ability of the model to discriminate between positive and negative classes; a value of 1 indicates perfect classification while a value of 0.5 represents random chance.","2026-04-01 19:41:19",3351fcb3-79f3-8152-9dc5-dca0abef94ed,Medium
42,SvelteKit,"SvelteKit is a framework for building web applications using Svelte, a modern JavaScript framework that compiles components into highly efficient vanilla JavaScript at build time. It provides a streamlined way to create fast, server-rendered applications with features like routing, server-side rendering, and static site generation. SvelteKit enhances the developer experience with a strong focus on performance and simplicity.","2026-04-01 19:45:32",3351fcb3-79f3-810d-8fe5-d9ff6c67c0d2,Low
43,ETL,"ETL stands for Extract, Transform, Load, which is a process used in data warehousing to pull data from various sources, transform it into a suitable format or structure, and then load it into a destination database. This process enables the consolidation of data from different origins for analysis and reporting purposes, ensuring data integrity and suitability for business intelligence initiatives.","2026-04-01 20:53:29",3351fcb3-79f3-81d8-bfd1-c9612074d461,High
44,ELT,"ELT stands for Extract, Load, Transform, a data integration process that involves extracting data from multiple sources, loading it into a destination, and then transforming it as needed. This approach is often used in data warehousing, where raw data is ingested and transformation occurs after the data is stored, allowing for faster loading of data and flexible transformation queries. ELT is commonly associated with cloud-based data platforms that can handle large datasets efficiently.","2026-04-01 21:03:12",3351fcb3-79f3-81ab-bd5d-cef8069f065a,Medium
45,"Small Language Model","A small language model is a type of artificial intelligence model designed for natural language processing tasks, typically requiring fewer parameters and resources compared to larger counterparts. These models can efficiently perform language understanding and generation tasks, making them suitable for deployment in resource-constrained environments while maintaining reasonable performance levels.","2026-04-01 22:44:16",3351fcb3-79f3-8142-a14c-f27f76f418f5,Medium
46,BigQuery,"BigQuery is a fully managed, serverless data warehouse developed by Google Cloud that allows for super-fast SQL queries and analysis of large datasets. It leverages Google's infrastructure to handle big data analytics, offering features like automatic scaling and high availability without the need for operational upkeep. Users can easily analyze terabytes of data in seconds and integrate with various data tools and services.","2026-04-02 07:19:17",3361fcb3-79f3-8142-a39c-ecd264ff6ed9,Medium
47,Redshift,"Amazon Redshift is a fully managed, petabyte-scale data warehouse service in the cloud. It enables users to run complex queries and perform large-scale data analysis quickly and cost-effectively using standard SQL and existing Business Intelligence (BI) tools.","2026-04-02 07:19:20",3361fcb3-79f3-8166-acf1-dffa231470dc,Low
48,"R Programming Language","R is a programming language and free software environment primarily used for statistical computing and graphics. It provides a range of statistical and data analysis tools, making it popular among statisticians and data scientists. R supports diverse data types and offers extensive libraries for data manipulation, visualization, and modeling.","2026-04-02 07:19:23",3361fcb3-79f3-81d0-b2a1-c23ba6b63eba,Medium
54,"Document Database","A document database is a type of NoSQL database that stores data in documents similar to JSON (JavaScript Object Notation) format. This enables flexible data models, allowing each document to have a unique structure, which is beneficial for handling unstructured or semi-structured data. Document databases are often used for applications that require scalability and high availability, such as content management systems and real-time analytics.","2026-04-03 01:29:14",3371fcb3-79f3-81b5-8b30-ea220d2ef51a,High
55,CouchDB,"CouchDB is an open-source NoSQL database that uses a schema-free JSON document format for data storage. It provides a RESTful HTTP API for interacting with the database, allowing for easy access and integration with web applications. Its design emphasizes ease of use and horizontal scalability, making it suitable for web applications that require flexible and scalable data management.","2026-04-03 01:34:32",3371fcb3-79f3-8157-a887-fd3895f4d5d8,Medium
56,"Amazon DocumentDB","Amazon DocumentDB is a fully managed document database service that supports MongoDB workloads. It is designed to be scalable, durable, and secure, allowing applications to store and retrieve varying types of data in a flexible JSON-like format. With built-in replication and backup capabilities, it helps ensure high availability and data protection.","2026-04-03 01:35:40",3371fcb3-79f3-81a3-beec-f5a3b84a8097,Low
57,"Firebase Firestore","Firebase Firestore is a NoSQL cloud database offered by Google as part of the Firebase platform which allows developers to store, sync, and query data for mobile and web applications. Firestore is designed for flexibility, scalability, and real-time synchronization, making it suitable for applications that require high availability and low-latency data access. It supports offline capabilities, allowing users to interact with their data even without an internet connection.","2026-04-03 01:40:17",3371fcb3-79f3-81c8-aa32-d8648412a54f,Medium
58,BSON,"BSON (Binary JSON) is a binary-encoded serialization format that extends JSON's capabilities by providing more data types and a more efficient way to store and transmit data. It is the format used by MongoDB to represent documents, allowing for the inclusion of data types like dates and binary data that are not natively supported by JSON. BSON is designed to be lightweight and fast, facilitating quick access to data and ease of encoding and decoding.","2026-04-03 01:44:29",3371fcb3-79f3-818a-80ac-e59423912695,Low
59,"Data Model","A data model is a conceptual representation of the data structures that are required by a database. It defines how data is organized, stored, and manipulated, specifying the relationships between different data entities. Data models help in the design, implementation, and management of data in software applications and databases.","2026-04-03 06:57:22",3371fcb3-79f3-8159-9763-db69e85b7bdf,Low
60,"Business Data Processing","Business Data Processing refers to the systematic collection, manipulation, and analysis of data to support business operations, decision-making, and strategic planning. This process involves various techniques and tools to convert raw data into meaningful information that can drive efficiencies and enhance productivity within an organization.","2026-04-03 07:27:59",,Medium
61,"Transaction Processing","Transaction processing refers to a set of operations that ensure the correct handling of data transactions in computer systems. It includes ensuring data integrity, consistency, and reliability when multiple users or systems interact with the same dataset, often in the context of databases or applications. This processing typically employs ACID properties (Atomicity, Consistency, Isolation, Durability) to manage transactions effectively.","2026-04-03 07:28:01",,Medium
62,"Batch Processing","Batch processing refers to the execution of a series of jobs or tasks on a computer without manual intervention. This technique is often used in data processing where a large volume of data is collected, processed, and stored in a single run, enhancing efficiency and performance. It is commonly used in applications like payroll systems, data migration, and data warehousing.","2026-04-03 07:28:03",,Medium
63,"Network Model","A network model is a conceptual representation used to describe the structure, behavior, and interactions of a network, including its components and their relationships. It can refer to various types of models, such as the OSI model or TCP/IP model, which provide frameworks for understanding how different networking layers operate and communicate. These models are crucial for designing, implementing, and troubleshooting network communication systems.","2026-04-03 07:28:04",,Medium
64,"Hierarchical Model","The hierarchical model is a data model that organizes data in a tree-like structure, with each record having a single parent and potentially multiple children. This model is useful for representing nested relationships, where data is organized into a hierarchy, such as organizational structures or file systems. However, it can be limited in flexibility and complexity compared to other models like the relational model.","2026-04-03 07:28:06",,Medium
65,"Relational Model","The relational model is a way to organize data using tables (or relations) where each table consists of rows and columns. Each row represents a unique record, and each column represents an attribute of the data. It relies on a set of constraints and relationships between the tables to ensure data integrity and enable complex queries through Structured Query Language (SQL).","2026-04-03 07:28:08",,Medium
66,"Object Databases","Object databases are a type of database management system that store data in the form of objects, as used in object-oriented programming. Unlike traditional relational databases which use tables and rows, object databases directly integrate real-world entities with the database, allowing for complex data representations. This approach facilitates easier data modeling and improves performance for applications that require intricate data structures.","2026-04-03 07:28:10",,Medium
67,"XML Databases","XML databases are designed to store, retrieve, and manage XML data efficiently. They provide a way to query and manipulate XML documents directly, offering features like indexing and schema support to handle complex data structures. These databases support standards like XPath and XQuery for data access and manipulation.","2026-04-03 07:28:12",,Medium
68,"Polyglot Persistence","Polyglot persistence refers to the use of multiple data storage technologies within a single application or system to handle various data types and access patterns more efficiently. It allows developers to leverage the strengths of different databases (such as SQL, NoSQL, and in-memory) based on specific use cases, thereby optimizing performance and scalability. This approach is particularly beneficial in modern, microservices-based architectures where different services may have varying data needs.","2026-04-03 07:28:15",,Medium
69,"Impedance Mismatch","Impedance mismatch refers to the disconnect that occurs when different systems or components are unable to communicate effectively due to differences in data formats, protocols, or expectations. This often happens between databases and application layers or between different programming environments, leading to inefficiencies and increased complexity in data handling.","2026-04-03 07:28:17",,Medium
70,Impedance,"Impedance is a measure of the opposition that a circuit presents to the flow of alternating current (AC). It is a complex quantity composed of resistance and reactance, and it is measured in ohms. Impedance plays a crucial role in AC circuit analysis, influencing how voltage and current interact.","2026-04-03 07:28:18",,Medium
71,"Electric Circuit","An electric circuit is a closed loop that allows electric current to flow, consisting of various components such as resistors, capacitors, inductors, power sources, and switches. The circuit can be simple, involving a battery and a light bulb, or complex, utilizing integrated circuits and multiple pathways for current. Understanding electric circuits is fundamental in both electronics and electrical engineering.","2026-04-03 07:28:20",,Medium
72,"Alternating Current","Alternating current (AC) is an electric current that reverses direction periodically, contrasting with direct current (DC) which flows only in one direction. AC is commonly used for power supply in homes and industries due to its efficiency in long-distance transmission. The frequency of AC is measured in hertz (Hz), indicating the number of cycles per second.","2026-04-03 07:28:22",,Medium
73,"Signal Reflection","Signal reflection occurs when a signal traveling along a transmission medium encounters a discontinuity, such as an impedance mismatch. Part of the signal reflects back towards the source, which can cause issues like signal degradation and interference in communication systems. Proper design and termination of transmission lines can minimize reflection effects.","2026-04-03 07:28:23",,Medium
74,"Structured Data Types","Structured data types are data types that are composed of multiple components, which can include primitive data types and other structured types. They allow for the organization of complex data in a way that is both manageable and accessible, often facilitating easier data handling and manipulation in programming. Examples include arrays, records, and classes in various programming languages.","2026-04-03 07:28:24",,Medium
75,RethinkDB,"RethinkDB is an open-source, distributed NoSQL database designed for real-time applications. It supports a comprehensive query language and allows developers to efficiently work with changing data by providing real-time notifications to client applications when data changes. RethinkDB is known for its ability to handle large volumes of unstructured data and facilitate easy integration with various programming languages.","2026-04-03 07:28:26",,Medium
76,"Database Normalization","Database normalization is a process in database design that organizes columns and tables to reduce data redundancy and improve data integrity. It involves dividing larger tables into smaller, related tables and defining relationships between them through foreign keys. This helps to eliminate anomalies during data operations, such as insertions, updates, and deletions.","2026-04-03 07:28:28",,Medium
77,"Predeclared Views","Predeclared views refer to database views that are defined and available for use before the execution of queries. They are typically created to simplify complex queries, enhance data security, and improve consistency by providing a predefined way of accessing specific data sets. This makes it easier for developers and users to work with the data without needing to understand the underlying table structures.","2026-04-03 07:28:30",,Medium
78,"Database Denormalization","Database denormalization is the process of intentionally introducing redundancy into a database schema to improve read performance. By combining tables or adding redundant data, it reduces the number of joins needed in queries, speeding up data retrieval at the expense of increased storage and potential complications in data consistency.","2026-04-03 07:28:31",,Medium
79,"Information Management Systems","Information Management Systems (IMS) are systems designed to manage, store, retrieve, and disseminate information effectively within an organization. They integrate various technology components to support decision-making and improve productivity by ensuring that relevant information is available to the right people at the right time.","2026-04-03 07:28:33",,Medium
80,"Network Model (CODASYL Model)","The CODASYL model, developed by the Conference on Data Systems Languages (CODASYL), is a type of database model that organizes data using a graph structure, allowing for many-to-many relationships. It uses record types and sets, where records can have multiple links to other records, enabling complex data retrieval and manipulation. This model is one of the predecessors to the modern relational database models.","2026-04-03 07:28:35",,Medium
81,"Query Optimizer","A query optimizer is a component of a database management system that analyzes SQL queries and determines the most efficient way to execute them. It evaluates various execution plans and selects the one that minimizes resource usage and maximizes performance, considering factors such as indexes, statistics, and join types.","2026-04-03 07:28:36",,Medium
82,"Key Performance Indicator","A Key Performance Indicator (KPI) is a measurable value that demonstrates how effectively a company, department, or individual is achieving key business objectives. Organizations use KPIs to evaluate their success at reaching targets and to guide strategic decision-making. They can vary widely depending on the organization and its specific goals.","2026-04-03 07:40:46",,Medium
83,Hyperparameters,"Hyperparameters are the parameters whose values are set before the learning process begins in machine learning algorithms. They control the training process and impact the model's performance but are not learned from the data itself. Examples include learning rate, batch size, and the number of epochs.","2026-04-03 07:43:38",,Medium
84,"TanStack Query","TanStack Query is a powerful data-fetching and state management library for React and other frameworks, designed to simplify the process of fetching, caching, and synchronizing server state with client state in applications. It provides hooks that help manage server data efficiently and offers features like background synchronization, pagination, and automatic caching. By abstracting complex server state management, TanStack Query helps developers focus on building user interfaces without worrying about data fetching logistics.","2026-04-03 17:43:21",3371fcb3-79f3-8106-b112-e1cc7f1a4da7,High
